Date;Peugeot;Renault;Volvo;BMW;Daimler;VW;Toyota;GM;Ford;Fiat Chrysler;Portfolio
7.7.2015;17.855;85.915;100.06;90.018;76.779;198.94;132.729996;31.521689;13.867121;9.232373;756.918179
7.6.2015;17.205;84.052;96.68;88.198;75.015;194.7;132.75;32.081643;13.942129;9.39008;744.013852
7.2.2015;17.725;88.022;97.36;89.932;75.527;199.92;133.600006;31.898211;14.054641;9.613497;757.652355
7.1.2015;18.595;91.41;99.29;93.15;77.764;204.8;133.75;32.17819;14.073393;9.547786;774.558369
6.30.2015;18.815;92.284;101.12;94.72;78.447;207.73;132.449997;32.081643;14.08277;9.547786;781.278196
6.29.2015;18.78;93.177;100.83;95.008;78.665;208.47;135.460007;33.191903;14.439057;10.244321;788.265288
6.26.2015;19.08;94.206;102.48;96.253;79.727;211.2;134.869995;33.500844;14.476561;10.112899;795.906299
6.25.2015;18.445;90.692;99.29;94.031;77.395;203.14;135.399994;33.944947;14.532818;10.165468;777.036227
6.24.2015;18.7;91.517;101.61;95.103;78.504;206.95;137.100006;35.04555;14.335922;10.375742;789.24122
6.23.2015;19.34;95.245;104.89;99.126;82.106;214.23;135.479996;34.939351;14.185905;10.231178;809.77343
6.22.2015;19.065;94.556;106.24;99.318;81.822;213.55;134.020004;34.862118;14.167153;9.981477;807.581752
6.19.2015;19.085;93.866;106.92;98.887;81.386;213.3;134.479996;34.949008;14.195282;10.132613;807.200899
6.18.2015;19.125;94.575;106.05;99.94;82.23;215.06;134.869995;34.572486;14.08277;9.981477;810.486728
6.17.2015;18.66;92.692;105.28;97.977;81.035;212.81;136.059998;34.379397;14.064017;10.185181;803.142593
6.16.2015;18.02;89.459;102.48;93.609;77.357;205.1;135.509995;34.234579;14.110897;10.191752;780.072223
6.15.2015;17.44;88.012;102.48;93.743;77.414;205.34;135.490005;34.475939;14.279665;10.461167;779.135776
6.12.2015;17.515;89.061;104.12;92.91;77.328;202.51;135.179993;34.321469;14.326545;10.415169;777.687176
6.11.2015;18.005;90.808;105.57;94.194;78.494;204.9;134.240005;34.360087;14.092145;10.323174;784.986411
6.10.2015;17.965;89.75;105.08;94.423;77.973;203.88;132.300003;34.04149;13.951505;10.047189;779.411187
6.9.2015;18.715;91.905;108.66;95.697;79.774;208.42;133.149994;33.780824;13.970257;10.244321;794.316396
6.8.2015;18.72;92.274;108.08;96.971;80.22;211.69;135.509995;33.558769;13.857745;10.283747;801.165256
6.5.2015;18.25;91.167;108.85;96.54;79.167;212.86;136.850006;33.9601;14.110897;10.566304;802.321307
6.4.2015;17.86;89.954;104.89;93.897;76.646;207.69;137.440002;34.342316;14.251537;10.717439;787.688294
6.3.2015;17.475;87.77;105.66;93.255;76.105;205.83;136.570007;34.609872;14.307794;10.618872;782.201545
6.2.2015;17.975;89.604;106.24;95.381;77.594;208.91;137.240005;34.571649;14.401553;10.704297;792.621504
6.1.2015;18.2;90.701;106.15;96.061;78.627;212.57;137.889999;34.370985;14.22341;10.533449;799.326843
5.29.2015;18.4;92.585;107.5;96.971;79.442;212.72;139.740005;34.772313;14.335922;10.60573;807.07197
5.28.2015;18.61;91.614;105.37;95.965;79.31;211.89;138.770004;34.218098;14.364049;10.553162;800.664313
5.27.2015;18.855;92.022;106.73;96.492;81.282;215.21;137.699997;33.940989;14.242161;10.342887;806.817034
5.26.2015;19;91.769;107.21;96.444;80.845;215.84;138.220001;34.112987;14.31717;10.474309;808.232467
